Unnamed: 0,title,persons,time,calories,stars,url,image
0,"Volkorenpastasalade met mozzarellabolletjes, sojabonen, tonijn en komkommer",4,15,530,0,https://www.ah.nl/allerhande/recept/R-R1195652/volkorenpastasalade-met-mozzarellabolletjes-sojabonen-tonijn-en-komkommer,https://static.ah.nl/static/recepten/img_RAM_PRD156625_1024x748_JPG.jpg
0,Kikkererwtencurry met pinda en spinazie en rijst ,4,30,570,0,https://www.ah.nl/allerhande/recept/R-R1195651/kikkererwtencurry-met-pinda-en-spinazie-en-rijst,https://static.ah.nl/static/recepten/img_RAM_PRD156612_1024x748_JPG.jpg
0,"Bananensplit met magere kwark, kersen en muesli",4,10,310,0,https://www.ah.nl/allerhande/recept/R-R1195650/bananensplit-met-magere-kwark-kersen-en-muesli,https://static.ah.nl/static/recepten/img_RAM_PRD156603_1024x748_JPG.jpg
0,Gezonde pindakaas popcorn,8,10,110,0,https://www.ah.nl/allerhande/recept/R-R1195649/gezonde-pindakaas-popcorn,https://static.ah.nl/static/recepten/img_RAM_PRD156609_1024x748_JPG.jpg
0,Volkorentoast met avocadospread en peterselie,4,10,350,0,https://www.ah.nl/allerhande/recept/R-R1195648/volkorentoast-met-avocadospread-en-peterselie,https://static.ah.nl/static/recepten/img_RAM_PRD156627_1024x748_JPG.jpg
0,"Pizza van volkorenplatbrood met tartaar, paprika en tomatensalsa ",4,25,440,0,https://www.ah.nl/allerhande/recept/R-R1195647/pizza-van-volkorenplatbrood-met-tartaar-paprika-en-tomatensalsa,https://static.ah.nl/static/recepten/img_RAM_PRD156616_1024x748_JPG.jpg
0,"Broodpudding met volkorenmuesli-notenbrood, bosbessen en sinaasappel",4,10,375,0,https://www.ah.nl/allerhande/recept/R-R1195646/broodpudding-met-volkorenmuesli-notenbrood-bosbessen-en-sinaasappel,https://static.ah.nl/static/recepten/img_RAM_PRD156604_1024x748_JPG.jpg
0,"Volkorenwraprolletjes met ricotta, gerookte zalm en rauwkost",16,10,50,0,https://www.ah.nl/allerhande/recept/R-R1195645/volkorenwraprolletjes-met-ricotta-gerookte-zalm-en-rauwkost,https://static.ah.nl/static/recepten/img_RAM_PRD156629_1024x748_JPG.jpg
0,"Volkorenbolletje met kaas, radijs en komkommer ",4,10,410,0,https://www.ah.nl/allerhande/recept/R-R1195644/volkorenbolletje-met-kaas-radijs-en-komkommer,https://static.ah.nl/static/recepten/img_RAM_PRD156620_1024x748_JPG.jpg
0,"Couscous met gebakken kip, wortel, abrikozen en citroen ",4,20,560,0,https://www.ah.nl/allerhande/recept/R-R1195643/couscous-met-gebakken-kip-wortel-abrikozen-en-citroen,https://static.ah.nl/static/recepten/img_RAM_PRD156606_1024x748_JPG.jpg
0,Halloween pompoencake (advertorial),10,25,450,0,https://www.ah.nl/allerhande/recept/R-R1195622/halloween-pompoencake-advertorial,https://static.ah.nl/static/recepten/img_RAM_PRD156232_1024x748_JPG.jpg
0,"Traybake met groente, bonen en fuet sticks (advertorial)",4,15,665,0,https://www.ah.nl/allerhande/recept/R-R1195621/traybake-met-groente-bonen-en-fuet-sticks-advertorial,https://static.ah.nl/static/recepten/img_RAM_PRD156231_1024x748_JPG.jpg
0,Patatje stoofvlees met pittige allioli (advertorial),6,25,765,0,https://www.ah.nl/allerhande/recept/R-R1195620/patatje-stoofvlees-met-pittige-allioli-advertorial,https://static.ah.nl/static/recepten/img_RAM_PRD156228_1024x748_JPG.jpg
0,Cupcakes met peer en kaneel,12,30,180,0,https://www.ah.nl/allerhande/recept/R-R1195619/cupcakes-met-peer-en-kaneel,https://static.ah.nl/static/recepten/img_RAM_PRD156226_1024x748_JPG.jpg
0,Vegan stoof,4,10,315,0,https://www.ah.nl/allerhande/recept/R-R1195618/vegan-stoof,https://static.ah.nl/static/recepten/img_RAM_PRD156230_1024x748_JPG.jpg
0,Crostini met appel en worst,4,20,525,0,https://www.ah.nl/allerhande/recept/R-R1195617/crostini-met-appel-en-worst,https://static.ah.nl/static/recepten/img_RAM_PRD156225_1024x748_JPG.jpg
0,Klassiek Britse pie met kip,6,50,690,0,https://www.ah.nl/allerhande/recept/R-R1195616/klassiek-britse-pie-met-kip,https://static.ah.nl/static/recepten/img_RAM_PRD156227_1024x748_JPG.jpg
0,Carpaccio dressing ,10,10,175,0,https://www.ah.nl/allerhande/recept/R-R1195615/carpaccio-dressing,https://static.ah.nl/static/recepten/img_RAM_PRD156329_1024x748_JPG.jpg
0,Shepherd's pie,4,45,745,0,https://www.ah.nl/allerhande/recept/R-R1195614/shepherd-s-pie,https://static.ah.nl/static/recepten/img_RAM_PRD156339_1024x748_JPG.jpg
0,Cinnamon rolls ,20,25,165,0,https://www.ah.nl/allerhande/recept/R-R1195613/cinnamon-rolls,https://static.ah.nl/static/recepten/img_RAM_PRD156331_1024x748_JPG.jpg
