Unnamed: 0,recipe,nutrition,value
403,Zandkoekjes met glazuur 'bloedspetters' ,natrium,40 mg
404,Zandkoekjes met glazuur 'bloedspetters' ,eiwit,1 g
405,Zandkoekjes met glazuur 'bloedspetters' ,vet,7 g
406,Zandkoekjes met glazuur 'bloedspetters' ,waarvan verzadigd,5 g
407,Zandkoekjes met glazuur 'bloedspetters' ,vezels,1 g
408,Oesterzwambitterballen,energie,140 kcal
409,Oesterzwambitterballen,koolhydraten,11 g
410,Oesterzwambitterballen,waarvan suikers,1 g
411,Oesterzwambitterballen,natrium,120 mg
412,Oesterzwambitterballen,eiwit,3 g
413,Oesterzwambitterballen,vet,9 g
414,Oesterzwambitterballen,waarvan verzadigd,3 g
415,Oesterzwambitterballen,vezels,1 g
416,Mini pizza's met boerenkool en spek,energie,135 kcal
417,Mini pizza's met boerenkool en spek,koolhydraten,7 g
418,Mini pizza's met boerenkool en spek,waarvan suikers,1 g
419,Mini pizza's met boerenkool en spek,natrium,280 mg
420,Mini pizza's met boerenkool en spek,eiwit,6 g
421,Mini pizza's met boerenkool en spek,vet,9 g
422,Mini pizza's met boerenkool en spek,waarvan verzadigd,5 g
423,Mini pizza's met boerenkool en spek,vezels,1 g
424,Whipped blauwe kaas met knapperige rauwkost,energie,415 kcal
425,Whipped blauwe kaas met knapperige rauwkost,koolhydraten,15 g
426,Whipped blauwe kaas met knapperige rauwkost,waarvan suikers,13 g
427,Whipped blauwe kaas met knapperige rauwkost,natrium,760 mg
428,Whipped blauwe kaas met knapperige rauwkost,eiwit,16 g
429,Whipped blauwe kaas met knapperige rauwkost,vet,31 g
430,Whipped blauwe kaas met knapperige rauwkost,waarvan verzadigd,18 g
431,Whipped blauwe kaas met knapperige rauwkost,vezels,7 g
432,Fish pie,energie,570 kcal
433,Fish pie,koolhydraten,30 g
434,Fish pie,waarvan suikers,4 g
435,Fish pie,natrium,520 mg
436,Fish pie,eiwit,31 g
437,Fish pie,vet,36 g
438,Fish pie,waarvan verzadigd,22 g
439,Fish pie,vezels,2 g
440,Kleine pasteitjes gevuld met aardappel,energie,375 kcal
441,Kleine pasteitjes gevuld met aardappel,koolhydraten,40 g
442,Kleine pasteitjes gevuld met aardappel,waarvan suikers,2 g
443,Kleine pasteitjes gevuld met aardappel,natrium,120 mg
444,Kleine pasteitjes gevuld met aardappel,eiwit,7 g
445,Kleine pasteitjes gevuld met aardappel,vet,20 g
446,Kleine pasteitjes gevuld met aardappel,waarvan verzadigd,12 g
447,Kleine pasteitjes gevuld met aardappel,vezels,3 g
448,Stoofvleespastei,energie,575 kcal
449,Stoofvleespastei,koolhydraten,30 g
450,Stoofvleespastei,waarvan suikers,6 g
451,Stoofvleespastei,natrium,720 mg
452,Stoofvleespastei,eiwit,41 g
453,Stoofvleespastei,vet,31 g
454,Stoofvleespastei,waarvan verzadigd,17 g
455,Stoofvleespastei,vezels,2 g
456,Snelle risotto porcini,energie,625 kcal
457,Snelle risotto porcini,koolhydraten,79 g
458,Snelle risotto porcini,waarvan suikers,2 g
459,Snelle risotto porcini,natrium,1000 mg
460,Snelle risotto porcini,eiwit,18 g
461,Snelle risotto porcini,vet,25 g
462,Snelle risotto porcini,waarvan verzadigd,16 g
463,Snelle risotto porcini,vezels,5 g
464,"Stamppot boerenkool met geroosterde pompoen, spek en walnoten",energie,810 kcal
465,"Stamppot boerenkool met geroosterde pompoen, spek en walnoten",koolhydraten,48 g
466,"Stamppot boerenkool met geroosterde pompoen, spek en walnoten",waarvan suikers,8 g
467,"Stamppot boerenkool met geroosterde pompoen, spek en walnoten",natrium,720 mg
468,"Stamppot boerenkool met geroosterde pompoen, spek en walnoten",eiwit,22 g
469,"Stamppot boerenkool met geroosterde pompoen, spek en walnoten",vet,57 g
470,"Stamppot boerenkool met geroosterde pompoen, spek en walnoten",waarvan verzadigd,17 g
471,"Stamppot boerenkool met geroosterde pompoen, spek en walnoten",vezels,8 g
472,Geroosterde pompoen met boerenkool en walnoten,energie,345 kcal
473,Geroosterde pompoen met boerenkool en walnoten,koolhydraten,8 g
474,Geroosterde pompoen met boerenkool en walnoten,waarvan suikers,4 g
475,Geroosterde pompoen met boerenkool en walnoten,natrium,120 mg
476,Geroosterde pompoen met boerenkool en walnoten,eiwit,7 g
