Unnamed: 0,recipe,nutrition,value
43584,Yotam Ottolenghi's quinoa met gegrilde tomaten en knoflook,vet,41 g
43585,Yotam Ottolenghi's quinoa met gegrilde tomaten en knoflook,waarvan verzadigd,11 g
43586,Yotam Ottolenghi's quinoa met gegrilde tomaten en knoflook,vezels,6 g
43587,Yotam Ottolenghi's pompoen met chiliyoghurt en koriandersaus,energie,170 kcal
43588,Yotam Ottolenghi's pompoen met chiliyoghurt en koriandersaus,koolhydraten,16 g
43589,Yotam Ottolenghi's pompoen met chiliyoghurt en koriandersaus,natrium,65 mg
43590,Yotam Ottolenghi's pompoen met chiliyoghurt en koriandersaus,eiwit,5 g
43591,Yotam Ottolenghi's pompoen met chiliyoghurt en koriandersaus,vet,9 g
43592,Yotam Ottolenghi's pompoen met chiliyoghurt en koriandersaus,waarvan verzadigd,2 g
43593,Yotam Ottolenghi's pompoen met chiliyoghurt en koriandersaus,vezels,3 g
43594,Quinoasalade met edamame,energie,445 kcal
43595,Quinoasalade met edamame,koolhydraten,59 g
43596,Quinoasalade met edamame,natrium,760 mg
43597,Quinoasalade met edamame,eiwit,19 g
43598,Quinoasalade met edamame,vet,13 g
43599,Quinoasalade met edamame,waarvan verzadigd,1 g
43600,Quinoasalade met edamame,vezels,10 g
43601,Tilapiafilet met paprikastoof,energie,495 kcal
43602,Tilapiafilet met paprikastoof,koolhydraten,44 g
43603,Tilapiafilet met paprikastoof,natrium,680 mg
43604,Tilapiafilet met paprikastoof,eiwit,25 g
43605,Tilapiafilet met paprikastoof,vet,23 g
43606,Tilapiafilet met paprikastoof,waarvan verzadigd,10 g
43607,Tilapiafilet met paprikastoof,vezels,7 g
43608,"Kip met boerenkool, tomaat en witte bonen",energie,400 kcal
43609,"Kip met boerenkool, tomaat en witte bonen",koolhydraten,20 g
43610,"Kip met boerenkool, tomaat en witte bonen",natrium,345 mg
43611,"Kip met boerenkool, tomaat en witte bonen",eiwit,29 g
43612,"Kip met boerenkool, tomaat en witte bonen",vet,21 g
43613,"Kip met boerenkool, tomaat en witte bonen",waarvan verzadigd,4 g
43614,"Kip met boerenkool, tomaat en witte bonen",vezels,8 g
43615,Gnocchi met champignons en kaas,energie,385 kcal
43616,Gnocchi met champignons en kaas,koolhydraten,50 g
43617,Gnocchi met champignons en kaas,natrium,300 mg
43618,Gnocchi met champignons en kaas,eiwit,16 g
43619,Gnocchi met champignons en kaas,vet,12 g
43620,Gnocchi met champignons en kaas,waarvan verzadigd,3 g
43621,Gnocchi met champignons en kaas,vezels,7 g
43622,Spaghetti met worst en tomaat,energie,895 kcal
43623,Spaghetti met worst en tomaat,koolhydraten,88 g
43624,Spaghetti met worst en tomaat,natrium,915 mg
43625,Spaghetti met worst en tomaat,eiwit,37 g
43626,Spaghetti met worst en tomaat,vet,42 g
43627,Spaghetti met worst en tomaat,waarvan verzadigd,16 g
43628,Spaghetti met worst en tomaat,vezels,8 g
43629,Hamlap met honingsaus en chinese kool,energie,670 kcal
43630,Hamlap met honingsaus en chinese kool,koolhydraten,91 g
43631,Hamlap met honingsaus en chinese kool,natrium,545 mg
43632,Hamlap met honingsaus en chinese kool,eiwit,41 g
43633,Hamlap met honingsaus en chinese kool,vet,14 g
43634,Hamlap met honingsaus en chinese kool,waarvan verzadigd,3 g
43635,Hamlap met honingsaus en chinese kool,vezels,7 g
43636,Spinaziepannekoeken met camembert,energie,680 kcal
43637,Spinaziepannekoeken met camembert,koolhydraten,57 g
43638,Spinaziepannekoeken met camembert,natrium,1455 mg
43639,Spinaziepannekoeken met camembert,eiwit,35 g
43640,Spinaziepannekoeken met camembert,vet,33 g
43641,Spinaziepannekoeken met camembert,waarvan verzadigd,13 g
43642,Spinaziepannekoeken met camembert,vezels,8 g
43643,Gewokte groene kool,energie,720 kcal
43644,Gewokte groene kool,koolhydraten,67 g
43645,Gewokte groene kool,natrium,1005 mg
43646,Gewokte groene kool,eiwit,32 g
43647,Gewokte groene kool,vet,33 g
43648,Gewokte groene kool,waarvan verzadigd,16 g
43649,Gewokte groene kool,vezels,13 g
43650,Mexicaanse stoof met zwarte bonen,energie,470 kcal
43651,Mexicaanse stoof met zwarte bonen,koolhydraten,33 g
43652,Mexicaanse stoof met zwarte bonen,natrium,720 mg
43653,Mexicaanse stoof met zwarte bonen,eiwit,29 g
43654,Mexicaanse stoof met zwarte bonen,vet,22 g
43655,Mexicaanse stoof met zwarte bonen,waarvan verzadigd,7 g
43656,Mexicaanse stoof met zwarte bonen,vezels,16 g
43657,Kabeljauw met boerenkool,energie,555 kcal
43658,Kabeljauw met boerenkool,koolhydraten,50 g
43659,Kabeljauw met boerenkool,natrium,1015 mg
43660,Kabeljauw met boerenkool,eiwit,31 g
43661,Kabeljauw met boerenkool,vet,24 g
43662,Kabeljauw met boerenkool,waarvan verzadigd,13 g
43663,Kabeljauw met boerenkool,vezels,8 g
43664,Aardappeltortilla tomaat en tonijn,energie,455 kcal
43665,Aardappeltortilla tomaat en tonijn,koolhydraten,41 g
43666,Aardappeltortilla tomaat en tonijn,natrium,1365 mg
43667,Aardappeltortilla tomaat en tonijn,eiwit,36 g
43668,Aardappeltortilla tomaat en tonijn,vet,15 g
43669,Aardappeltortilla tomaat en tonijn,waarvan verzadigd,4 g
43670,Aardappeltortilla tomaat en tonijn,vezels,8 g
43671,Snelle minestrone,energie,245 kcal
43672,Snelle minestrone,koolhydraten,30 g
43673,Snelle minestrone,natrium,615 mg
43674,Snelle minestrone,eiwit,14 g
43675,Snelle minestrone,vet,6 g
43676,Snelle minestrone,waarvan verzadigd,1 g
43677,Snelle minestrone,vezels,7 g
43678,Gestoofde gehaktballetjes met bladerdeeg,energie,690 kcal
43679,Gestoofde gehaktballetjes met bladerdeeg,koolhydraten,71 g
43680,Gestoofde gehaktballetjes met bladerdeeg,natrium,2025 mg
43681,Gestoofde gehaktballetjes met bladerdeeg,eiwit,20 g
43682,Gestoofde gehaktballetjes met bladerdeeg,vet,33 g
43683,Gestoofde gehaktballetjes met bladerdeeg,waarvan verzadigd,13 g
43684,Gestoofde gehaktballetjes met bladerdeeg,vezels,7 g
43685,Gewokte hoisinvarkenshaas,energie,625 kcal
43686,Gewokte hoisinvarkenshaas,koolhydraten,52 g
43687,Gewokte hoisinvarkenshaas,natrium,1005 mg
43688,Gewokte hoisinvarkenshaas,eiwit,31 g
43689,Gewokte hoisinvarkenshaas,vet,28 g
43690,Gewokte hoisinvarkenshaas,waarvan verzadigd,6 g
43691,Gewokte hoisinvarkenshaas,vezels,9 g
43692,10 minutennasi met ham en gebakken ei,energie,475 kcal
43693,10 minutennasi met ham en gebakken ei,koolhydraten,59 g
43694,10 minutennasi met ham en gebakken ei,natrium,790 mg
43695,10 minutennasi met ham en gebakken ei,eiwit,23 g
43696,10 minutennasi met ham en gebakken ei,vet,16 g
43697,10 minutennasi met ham en gebakken ei,waarvan verzadigd,5 g
43698,10 minutennasi met ham en gebakken ei,vezels,6 g
43699,"Kip met boontjes, peer en noedels",energie,350 kcal
43700,"Kip met boontjes, peer en noedels",koolhydraten,32 g
43701,"Kip met boontjes, peer en noedels",natrium,245 mg
43702,"Kip met boontjes, peer en noedels",eiwit,26 g
43703,"Kip met boontjes, peer en noedels",vet,12 g
43704,"Kip met boontjes, peer en noedels",waarvan verzadigd,3 g
43705,"Kip met boontjes, peer en noedels",vezels,5 g
43706,Pittige wings met coleslaw,energie,790 kcal
43707,Pittige wings met coleslaw,koolhydraten,65 g
43708,Pittige wings met coleslaw,natrium,1405 mg
43709,Pittige wings met coleslaw,eiwit,32 g
43710,Pittige wings met coleslaw,vet,43 g
43711,Pittige wings met coleslaw,waarvan verzadigd,18 g
43712,Pittige wings met coleslaw,vezels,9 g
43713,Tomatensoep met garnalen en kikkererwten,energie,415 kcal
43714,Tomatensoep met garnalen en kikkererwten,koolhydraten,36 g
43715,Tomatensoep met garnalen en kikkererwten,natrium,1825 mg
43716,Tomatensoep met garnalen en kikkererwten,eiwit,35 g
43717,Tomatensoep met garnalen en kikkererwten,vet,11 g
43718,Tomatensoep met garnalen en kikkererwten,waarvan verzadigd,2 g
43719,Tomatensoep met garnalen en kikkererwten,vezels,13 g
43720,Gele rijst met salami en puntpaprika ,energie,745 kcal
43721,Gele rijst met salami en puntpaprika ,koolhydraten,81 g
43722,Gele rijst met salami en puntpaprika ,natrium,995 mg
43723,Gele rijst met salami en puntpaprika ,eiwit,29 g
43724,Gele rijst met salami en puntpaprika ,vet,31 g
43725,Gele rijst met salami en puntpaprika ,waarvan verzadigd,13 g
43726,Gele rijst met salami en puntpaprika ,vezels,12 g
43727,"Lauwwarme pastasalade met tonijn, artisjokharten en snijbonen ",energie,650 kcal
43728,"Lauwwarme pastasalade met tonijn, artisjokharten en snijbonen ",koolhydraten,65 g
43729,"Lauwwarme pastasalade met tonijn, artisjokharten en snijbonen ",natrium,520 mg
43730,"Lauwwarme pastasalade met tonijn, artisjokharten en snijbonen ",eiwit,31 g
43731,"Lauwwarme pastasalade met tonijn, artisjokharten en snijbonen ",vet,27 g
43732,"Lauwwarme pastasalade met tonijn, artisjokharten en snijbonen ",waarvan verzadigd,4 g
43733,"Lauwwarme pastasalade met tonijn, artisjokharten en snijbonen ",vezels,10 g
43734,Couscoussalade met biet en sinaasappel,energie,475 kcal
43735,Couscoussalade met biet en sinaasappel,koolhydraten,76 g
43736,Couscoussalade met biet en sinaasappel,natrium,145 mg
43737,Couscoussalade met biet en sinaasappel,eiwit,18 g
43738,Couscoussalade met biet en sinaasappel,vet,9 g
43739,Couscoussalade met biet en sinaasappel,waarvan verzadigd,1 g
43740,Couscoussalade met biet en sinaasappel,vezels,11 g
43741,"Plaattaart met geitenkaas, bieten en spek",energie,625 kcal
43742,"Plaattaart met geitenkaas, bieten en spek",koolhydraten,65 g
43743,"Plaattaart met geitenkaas, bieten en spek",natrium,2010 mg
43744,"Plaattaart met geitenkaas, bieten en spek",eiwit,29 g
43745,"Plaattaart met geitenkaas, bieten en spek",vet,26 g
43746,"Plaattaart met geitenkaas, bieten en spek",waarvan verzadigd,16 g
43747,"Plaattaart met geitenkaas, bieten en spek",vezels,7 g
43748,Mini-oranjekoeken,energie,510 kcal
43749,Mini-oranjekoeken,koolhydraten,66 g
43750,Mini-oranjekoeken,natrium,95 mg
43751,Mini-oranjekoeken,eiwit,6 g
43752,Mini-oranjekoeken,vet,24 g
43753,Mini-oranjekoeken,waarvan verzadigd,12 g
43754,Mini-oranjekoeken,vezels,2 g
43755,Koffiebroodjes,energie,215 kcal
43756,Koffiebroodjes,koolhydraten,42 g
43757,Koffiebroodjes,natrium,30 mg
43758,Koffiebroodjes,eiwit,6 g
43759,Koffiebroodjes,vet,2 g
43760,Koffiebroodjes,waarvan verzadigd,1 g
43761,Koffiebroodjes,vezels,2 g
43762,Hartige taart met kip en paprika,energie,820 kcal
43763,Hartige taart met kip en paprika,koolhydraten,42 g
43764,Hartige taart met kip en paprika,natrium,680 mg
43765,Hartige taart met kip en paprika,eiwit,42 g
43766,Hartige taart met kip en paprika,vet,53 g
43767,Hartige taart met kip en paprika,waarvan verzadigd,32 g
43768,Hartige taart met kip en paprika,vezels,4 g
43769,Franse kiprolletjes met spek en groenten,energie,750 kcal
43770,Franse kiprolletjes met spek en groenten,koolhydraten,52 g
43771,Franse kiprolletjes met spek en groenten,natrium,445 mg
43772,Franse kiprolletjes met spek en groenten,eiwit,36 g
43773,Franse kiprolletjes met spek en groenten,vet,41 g
43774,Franse kiprolletjes met spek en groenten,waarvan verzadigd,9 g
43775,Franse kiprolletjes met spek en groenten,vezels,14 g
43776,"Mexicaanse tostada’s met biefstuk, guacamole en crème fraîche",energie,920 kcal
43777,"Mexicaanse tostada’s met biefstuk, guacamole en crème fraîche",koolhydraten,63 g
43778,"Mexicaanse tostada’s met biefstuk, guacamole en crème fraîche",natrium,745 mg
43779,"Mexicaanse tostada’s met biefstuk, guacamole en crème fraîche",eiwit,46 g
43780,"Mexicaanse tostada’s met biefstuk, guacamole en crème fraîche",vet,51 g
43781,"Mexicaanse tostada’s met biefstuk, guacamole en crème fraîche",waarvan verzadigd,15 g
43782,"Mexicaanse tostada’s met biefstuk, guacamole en crème fraîche",vezels,13 g
43783,Romige penne met champignons en Italiaanse kaas ,energie,775 kcal
43784,Romige penne met champignons en Italiaanse kaas ,koolhydraten,65 g
43785,Romige penne met champignons en Italiaanse kaas ,natrium,170 mg
43786,Romige penne met champignons en Italiaanse kaas ,eiwit,19 g
43787,Romige penne met champignons en Italiaanse kaas ,vet,47 g
43788,Romige penne met champignons en Italiaanse kaas ,waarvan verzadigd,15 g
43789,Romige penne met champignons en Italiaanse kaas ,vezels,8 g
43790,Verse tagliatelle met gerookte zalm en spinazie,energie,720 kcal
43791,Verse tagliatelle met gerookte zalm en spinazie,koolhydraten,78 g
43792,Verse tagliatelle met gerookte zalm en spinazie,natrium,920 mg
43793,Verse tagliatelle met gerookte zalm en spinazie,eiwit,31 g
43794,Verse tagliatelle met gerookte zalm en spinazie,vet,30 g
43795,Verse tagliatelle met gerookte zalm en spinazie,waarvan verzadigd,10 g
43796,Verse tagliatelle met gerookte zalm en spinazie,vezels,7 g
43797,Krieltjes in de schil met steak de boeuf en sperziebonen,energie,740 kcal
43798,Krieltjes in de schil met steak de boeuf en sperziebonen,koolhydraten,60 g
43799,Krieltjes in de schil met steak de boeuf en sperziebonen,natrium,635 mg
43800,Krieltjes in de schil met steak de boeuf en sperziebonen,eiwit,32 g
43801,Krieltjes in de schil met steak de boeuf en sperziebonen,vet,38 g
43802,Krieltjes in de schil met steak de boeuf en sperziebonen,waarvan verzadigd,22 g
43803,Krieltjes in de schil met steak de boeuf en sperziebonen,vezels,14 g
43804,Spaanse groentestoof met kip uit de oven,energie,620 kcal
43805,Spaanse groentestoof met kip uit de oven,koolhydraten,59 g
43806,Spaanse groentestoof met kip uit de oven,natrium,305 mg
43807,Spaanse groentestoof met kip uit de oven,eiwit,40 g
43808,Spaanse groentestoof met kip uit de oven,vet,22 g
43809,Spaanse groentestoof met kip uit de oven,waarvan verzadigd,5 g
43810,Spaanse groentestoof met kip uit de oven,vezels,12 g
43811,Mediterrane ratatouille met malse kip en rijst,energie,570 kcal
43812,Mediterrane ratatouille met malse kip en rijst,koolhydraten,65 g
43813,Mediterrane ratatouille met malse kip en rijst,natrium,95 mg
43814,Mediterrane ratatouille met malse kip en rijst,eiwit,36 g
43815,Mediterrane ratatouille met malse kip en rijst,vet,16 g
43816,Mediterrane ratatouille met malse kip en rijst,waarvan verzadigd,3 g
43817,Mediterrane ratatouille met malse kip en rijst,vezels,11 g
43818,Caesarsalade van romainesla met aardappel en ei,energie,555 kcal
43819,Caesarsalade van romainesla met aardappel en ei,koolhydraten,68 g
43820,Caesarsalade van romainesla met aardappel en ei,natrium,1080 mg
43821,Caesarsalade van romainesla met aardappel en ei,eiwit,22 g
43822,Caesarsalade van romainesla met aardappel en ei,vet,20 g
43823,Caesarsalade van romainesla met aardappel en ei,waarvan verzadigd,7 g
43824,Caesarsalade van romainesla met aardappel en ei,vezels,7 g
43825,"Roerbaknoedels met broccoli, mango en kibbeling",energie,565 kcal
43826,"Roerbaknoedels met broccoli, mango en kibbeling",koolhydraten,75 g
43827,"Roerbaknoedels met broccoli, mango en kibbeling",natrium,870 mg
43828,"Roerbaknoedels met broccoli, mango en kibbeling",eiwit,24 g
43829,"Roerbaknoedels met broccoli, mango en kibbeling",vet,18 g
43830,"Roerbaknoedels met broccoli, mango en kibbeling",waarvan verzadigd,2 g
43831,"Roerbaknoedels met broccoli, mango en kibbeling",vezels,6 g
43832,Karbonade met worteltjes en aardappelpuree,energie,615 kcal
43833,Karbonade met worteltjes en aardappelpuree,koolhydraten,56 g
43834,Karbonade met worteltjes en aardappelpuree,waarvan suikers,24 g
43835,Karbonade met worteltjes en aardappelpuree,natrium,320 mg
43836,Karbonade met worteltjes en aardappelpuree,eiwit,33 g
43837,Karbonade met worteltjes en aardappelpuree,vet,27 g
43838,Karbonade met worteltjes en aardappelpuree,waarvan verzadigd,15 g
43839,Karbonade met worteltjes en aardappelpuree,vezels,7 g
43840,Groentepannetje met gerookte kip,energie,350 kcal
43841,Groentepannetje met gerookte kip,koolhydraten,38 g
43842,Groentepannetje met gerookte kip,natrium,855 mg
43843,Groentepannetje met gerookte kip,eiwit,25 g
43844,Groentepannetje met gerookte kip,vet,8 g
43845,Groentepannetje met gerookte kip,waarvan verzadigd,3 g
43846,Groentepannetje met gerookte kip,vezels,15 g
43847,Fusilli met champignons en vegaspekjes,energie,545 kcal
43848,Fusilli met champignons en vegaspekjes,koolhydraten,65 g
43849,Fusilli met champignons en vegaspekjes,natrium,640 mg
43850,Fusilli met champignons en vegaspekjes,eiwit,21 g
43851,Fusilli met champignons en vegaspekjes,vet,21 g
43852,Fusilli met champignons en vegaspekjes,waarvan verzadigd,8 g
43853,Fusilli met champignons en vegaspekjes,vezels,7 g
43854,Geroosterde groenten,energie,150 kcal
43855,Geroosterde groenten,koolhydraten,12 g
43856,Geroosterde groenten,natrium,125 mg
43857,Geroosterde groenten,eiwit,3 g
43858,Geroosterde groenten,vet,8 g
43859,Geroosterde groenten,waarvan verzadigd,1 g
43860,Geroosterde groenten,vezels,8 g
43861,Ontbijtkwark met pruimencompote,energie,370 kcal
43862,Ontbijtkwark met pruimencompote,koolhydraten,48 g
43863,Ontbijtkwark met pruimencompote,natrium,65 mg
43864,Ontbijtkwark met pruimencompote,eiwit,19 g
43865,Ontbijtkwark met pruimencompote,vet,10 g
43866,Ontbijtkwark met pruimencompote,waarvan verzadigd,1 g
43867,Ontbijtkwark met pruimencompote,vezels,6 g
43868,Lekkerbekje met broccolipesto,energie,625 kcal
43869,Lekkerbekje met broccolipesto,koolhydraten,55 g
43870,Lekkerbekje met broccolipesto,natrium,435 mg
43871,Lekkerbekje met broccolipesto,eiwit,26 g
43872,Lekkerbekje met broccolipesto,vet,32 g
43873,Lekkerbekje met broccolipesto,waarvan verzadigd,4 g
43874,Lekkerbekje met broccolipesto,vezels,7 g
43875,Pittige kip met Mexicaanse rijst,energie,765 kcal
43876,Pittige kip met Mexicaanse rijst,koolhydraten,10 g
43877,Pittige kip met Mexicaanse rijst,natrium,235 mg
43878,Pittige kip met Mexicaanse rijst,eiwit,31 g
43879,Pittige kip met Mexicaanse rijst,vet,21 g
43880,Pittige kip met Mexicaanse rijst,waarvan verzadigd,6 g
43881,Pittige kip met Mexicaanse rijst,vezels,12 g
43882,"Gegrilde filetlapjes met appel, sperziebonen en kriel",energie,425 kcal
43883,"Gegrilde filetlapjes met appel, sperziebonen en kriel",koolhydraten,50 g
43884,"Gegrilde filetlapjes met appel, sperziebonen en kriel",natrium,300 mg
43885,"Gegrilde filetlapjes met appel, sperziebonen en kriel",eiwit,24 g
43886,"Gegrilde filetlapjes met appel, sperziebonen en kriel",vet,12 g
43887,"Gegrilde filetlapjes met appel, sperziebonen en kriel",waarvan verzadigd,2 g
43888,"Gegrilde filetlapjes met appel, sperziebonen en kriel",vezels,10 g
43889,Gevulde koeken,energie,475 kcal
43890,Gevulde koeken,koolhydraten,53 g
43891,Gevulde koeken,natrium,40 mg
43892,Gevulde koeken,eiwit,8 g
43893,Gevulde koeken,vet,25 g
43894,Gevulde koeken,waarvan verzadigd,12 g
43895,Gevulde koeken,vezels,3 g
43896,Appelkruimelcake,energie,460 kcal
43897,Appelkruimelcake,koolhydraten,49 g
43898,Appelkruimelcake,natrium,75 mg
43899,Appelkruimelcake,eiwit,6 g
43900,Appelkruimelcake,vet,26 g
43901,Appelkruimelcake,waarvan verzadigd,14 g
43902,Appelkruimelcake,vezels,2 g
43903,Roggeworstenbroodjes,energie,275 kcal
43904,Roggeworstenbroodjes,koolhydraten,25 g
43905,Roggeworstenbroodjes,natrium,365 mg
43906,Roggeworstenbroodjes,eiwit,11 g
43907,Roggeworstenbroodjes,vet,14 g
43908,Roggeworstenbroodjes,waarvan verzadigd,6 g
43909,Roggeworstenbroodjes,vezels,1 g
43910,Mueslibrood,energie,485 kcal
43911,Mueslibrood,koolhydraten,63 g
43912,Mueslibrood,natrium,140 mg
43913,Mueslibrood,eiwit,12 g
43914,Mueslibrood,vet,19 g
43915,Mueslibrood,waarvan verzadigd,6 g
43916,Mueslibrood,vezels,6 g
43917,Gebakken krieltjes met kruiden,energie,310 kcal
43918,Gebakken krieltjes met kruiden,koolhydraten,47 g
43919,Gebakken krieltjes met kruiden,natrium,10 mg
43920,Gebakken krieltjes met kruiden,eiwit,5 g
43921,Gebakken krieltjes met kruiden,vet,10 g
43922,Gebakken krieltjes met kruiden,waarvan verzadigd,1 g
43923,Gebakken krieltjes met kruiden,vezels,7 g
43924,Gegratineerde bloemkoolstamp,energie,765 kcal
43925,Gegratineerde bloemkoolstamp,koolhydraten,38 g
43926,Gegratineerde bloemkoolstamp,natrium,845 mg
43927,Gegratineerde bloemkoolstamp,eiwit,28 g
43928,Gegratineerde bloemkoolstamp,vet,54 g
43929,Gegratineerde bloemkoolstamp,waarvan verzadigd,21 g
43930,Gegratineerde bloemkoolstamp,vezels,6 g
43931,Boerenkool met worst uit de koekenpan,energie,515 kcal
43932,Boerenkool met worst uit de koekenpan,koolhydraten,43 g
43933,Boerenkool met worst uit de koekenpan,natrium,740 mg
43934,Boerenkool met worst uit de koekenpan,eiwit,25 g
43935,Boerenkool met worst uit de koekenpan,vet,26 g
43936,Boerenkool met worst uit de koekenpan,waarvan verzadigd,8 g
43937,Boerenkool met worst uit de koekenpan,vezels,5 g
43938,Aardappelsalade met biet en zure haring,energie,550 kcal
43939,Aardappelsalade met biet en zure haring,koolhydraten,54 g
43940,Aardappelsalade met biet en zure haring,natrium,810 mg
43941,Aardappelsalade met biet en zure haring,eiwit,21 g
43942,Aardappelsalade met biet en zure haring,vet,25 g
43943,Aardappelsalade met biet en zure haring,waarvan verzadigd,11 g
43944,Aardappelsalade met biet en zure haring,vezels,9 g
43945,Goulash met rijst en broccoli,energie,655 kcal
43946,Goulash met rijst en broccoli,koolhydraten,75 g
43947,Goulash met rijst en broccoli,natrium,575 mg
43948,Goulash met rijst en broccoli,eiwit,37 g
43949,Goulash met rijst en broccoli,vet,21 g
43950,Goulash met rijst en broccoli,waarvan verzadigd,6 g
43951,Goulash met rijst en broccoli,vezels,8 g
43952,Rijkgevulde goulashsoep,energie,565 kcal
43953,Rijkgevulde goulashsoep,koolhydraten,54 g
43954,Rijkgevulde goulashsoep,natrium,1650 mg
43955,Rijkgevulde goulashsoep,eiwit,35 g
43956,Rijkgevulde goulashsoep,vet,22 g
43957,Rijkgevulde goulashsoep,waarvan verzadigd,7 g
43958,Rijkgevulde goulashsoep,vezels,11 g
43959,Groentequiche met geitenkaas,energie,665 kcal
43960,Groentequiche met geitenkaas,koolhydraten,37 g
43961,Groentequiche met geitenkaas,natrium,705 mg
43962,Groentequiche met geitenkaas,eiwit,18 g
43963,Groentequiche met geitenkaas,vet,47 g
43964,Groentequiche met geitenkaas,waarvan verzadigd,24 g
43965,Groentequiche met geitenkaas,vezels,10 g
43966,Couscous met geroosterde groenten,energie,520 kcal
43967,Couscous met geroosterde groenten,koolhydraten,74 g
43968,Couscous met geroosterde groenten,natrium,385 mg
43969,Couscous met geroosterde groenten,eiwit,27 g
43970,Couscous met geroosterde groenten,vet,10 g
43971,Couscous met geroosterde groenten,waarvan verzadigd,2 g
43972,Couscous met geroosterde groenten,vezels,13 g
43973,Spaghetti bolognese met rijkgevulde saus,energie,720 kcal
43974,Spaghetti bolognese met rijkgevulde saus,koolhydraten,68 g
43975,Spaghetti bolognese met rijkgevulde saus,natrium,960 mg
43976,Spaghetti bolognese met rijkgevulde saus,eiwit,38 g
43977,Spaghetti bolognese met rijkgevulde saus,vet,31 g
43978,Spaghetti bolognese met rijkgevulde saus,waarvan verzadigd,14 g
43979,Spaghetti bolognese met rijkgevulde saus,vezels,7 g
43980,Aardappelbolognesegratin,energie,840 kcal
43981,Aardappelbolognesegratin,koolhydraten,51 g
43982,Aardappelbolognesegratin,natrium,1815 mg
43983,Aardappelbolognesegratin,eiwit,43 g
43984,Aardappelbolognesegratin,vet,49 g
43985,Aardappelbolognesegratin,waarvan verzadigd,27 g
43986,Aardappelbolognesegratin,vezels,8 g
43987,Roerbakspinazie met courgette,energie,125 kcal
43988,Roerbakspinazie met courgette,koolhydraten,6 g
43989,Roerbakspinazie met courgette,natrium,20 mg
43990,Roerbakspinazie met courgette,eiwit,6 g
43991,Roerbakspinazie met courgette,vet,8 g
43992,Roerbakspinazie met courgette,waarvan verzadigd,1 g
43993,Roerbakspinazie met courgette,vezels,4 g
43994,Spinazie-bietensalade met cashewnoten,energie,210 kcal
43995,Spinazie-bietensalade met cashewnoten,koolhydraten,20 g
43996,Spinazie-bietensalade met cashewnoten,natrium,110 mg
43997,Spinazie-bietensalade met cashewnoten,eiwit,5 g
43998,Spinazie-bietensalade met cashewnoten,vet,11 g
43999,Spinazie-bietensalade met cashewnoten,waarvan verzadigd,2 g
44000,Spinazie-bietensalade met cashewnoten,vezels,5 g
44001,Spinazie met prei en ei,energie,385 kcal
44002,Spinazie met prei en ei,koolhydraten,13 g
44003,Spinazie met prei en ei,natrium,455 mg
44004,Spinazie met prei en ei,eiwit,17 g
44005,Spinazie met prei en ei,vet,28 g
44006,Spinazie met prei en ei,waarvan verzadigd,13 g
44007,Spinazie met prei en ei,vezels,6 g
44008,Rijstepap met kersen,energie,250 kcal
44009,Rijstepap met kersen,koolhydraten,45 g
44010,Rijstepap met kersen,natrium,50 mg
44011,Rijstepap met kersen,eiwit,6 g
44012,Rijstepap met kersen,vet,5 g
44013,Rijstepap met kersen,waarvan verzadigd,3 g
44014,Rijstepap met kersen,vezels,1 g
44015,Appel-perencompote,energie,550 kcal
44016,Appel-perencompote,koolhydraten,91 g
44017,Appel-perencompote,eiwit,19 g
44018,Appel-perencompote,vet,7 g
44019,Rodekool met sinaasappel,energie,135 kcal
44020,Rodekool met sinaasappel,koolhydraten,15 g
44021,Rodekool met sinaasappel,natrium,15 mg
44022,Rodekool met sinaasappel,eiwit,3 g
44023,Rodekool met sinaasappel,vet,5 g
44024,Rodekool met sinaasappel,waarvan verzadigd,1 g
44025,Rodekool met sinaasappel,vezels,6 g
44026,Zoetzure paprikasalade,energie,85 kcal
44027,Zoetzure paprikasalade,koolhydraten,19 g
44028,Zoetzure paprikasalade,natrium,55 mg
44029,Zoetzure paprikasalade,eiwit,1 g
44030,Zoetzure paprikasalade,vet,0 g
44031,Zoetzure paprikasalade,waarvan verzadigd,0 g
44032,Zoetzure paprikasalade,vezels,3 g
44033,Limburgs zuurvlees,energie,505 kcal
44034,Limburgs zuurvlees,koolhydraten,31 g
44035,Limburgs zuurvlees,natrium,180 mg
44036,Limburgs zuurvlees,eiwit,40 g
44037,Limburgs zuurvlees,vet,24 g
44038,Limburgs zuurvlees,waarvan verzadigd,12 g
44039,Limburgs zuurvlees,vezels,3 g
44040,Frisse aardappelsalade,energie,250 kcal
44041,Frisse aardappelsalade,koolhydraten,37 g
44042,Frisse aardappelsalade,natrium,170 mg
44043,Frisse aardappelsalade,eiwit,6 g
44044,Frisse aardappelsalade,vet,7 g
44045,Frisse aardappelsalade,waarvan verzadigd,1 g
44046,Frisse aardappelsalade,vezels,7 g
44047,Hollandse rösti met sperziebonensalade,energie,595 kcal
44048,Hollandse rösti met sperziebonensalade,koolhydraten,31 g
44049,Hollandse rösti met sperziebonensalade,natrium,815 mg
44050,Hollandse rösti met sperziebonensalade,eiwit,22 g
44051,Hollandse rösti met sperziebonensalade,vet,41 g
44052,Hollandse rösti met sperziebonensalade,waarvan verzadigd,15 g
44053,Hollandse rösti met sperziebonensalade,vezels,8 g
44054,Hutspot uit de oven met gekruide hazelnoten,energie,620 kcal
